object_type,object_id,source_name,automation_level,status,query_keyword,raw_value,normalized_value,source_url_or_file,decision_use,collection_method,missing_reason
event,FIFA_WC_2022_OPEN,baidu_index,manual_import,manual_required,2022 FIFA World Cup opening,,,https://index.baidu.com/,public_search_interest,"Use index.baidu.com to query event keywords, save the 7/30/90-day screen or export if available, and enter raw_value plus screenshot path.",official_index_requires_manual_export_or_screenshot
event,FIFA_WC_2022_OPEN,wechat_index,manual_import,manual_required,2022 FIFA World Cup opening,,,https://weixin.qq.com/,domestic_social_spread,"Use the WeChat Index mini program or WeChat search entry to query event keywords, record the daily index and screenshot.",official_index_requires_manual_export_or_screenshot
event,FIFA_WC_2022_OPEN,news_count_gdelt,semi_automatic,semi_automatic_ready,2022 FIFA World Cup opening,,,https://api.gdeltproject.org/api/v2/doc/doc,news_coverage,Use GDELT DOC 2.0 timelinevolraw for keyword-level article counts when the public API is reachable.,set QUANT_ALLOW_NETWORK_DATA=1 to fetch GDELT during a run
event,CHENGDU_FISU_2023_OPEN,baidu_index,manual_import,manual_required,Chengdu FISU World University Games opening,,,https://index.baidu.com/,public_search_interest,"Use index.baidu.com to query event keywords, save the 7/30/90-day screen or export if available, and enter raw_value plus screenshot path.",official_index_requires_manual_export_or_screenshot
event,CHENGDU_FISU_2023_OPEN,wechat_index,manual_import,manual_required,Chengdu FISU World University Games opening,,,https://weixin.qq.com/,domestic_social_spread,"Use the WeChat Index mini program or WeChat search entry to query event keywords, record the daily index and screenshot.",official_index_requires_manual_export_or_screenshot
event,CHENGDU_FISU_2023_OPEN,news_count_gdelt,semi_automatic,semi_automatic_ready,Chengdu FISU World University Games opening,,,https://api.gdeltproject.org/api/v2/doc/doc,news_coverage,Use GDELT DOC 2.0 timelinevolraw for keyword-level article counts when the public API is reachable.,set QUANT_ALLOW_NETWORK_DATA=1 to fetch GDELT during a run
event,HANGZHOU_ASIAD_2023_OPEN,baidu_index,manual_import,manual_required,Hangzhou Asian Games opening,,,https://index.baidu.com/,public_search_interest,"Use index.baidu.com to query event keywords, save the 7/30/90-day screen or export if available, and enter raw_value plus screenshot path.",official_index_requires_manual_export_or_screenshot
event,HANGZHOU_ASIAD_2023_OPEN,wechat_index,manual_import,manual_required,Hangzhou Asian Games opening,,,https://weixin.qq.com/,domestic_social_spread,"Use the WeChat Index mini program or WeChat search entry to query event keywords, record the daily index and screenshot.",official_index_requires_manual_export_or_screenshot
event,HANGZHOU_ASIAD_2023_OPEN,news_count_gdelt,semi_automatic,semi_automatic_ready,Hangzhou Asian Games opening,,,https://api.gdeltproject.org/api/v2/doc/doc,news_coverage,Use GDELT DOC 2.0 timelinevolraw for keyword-level article counts when the public API is reachable.,set QUANT_ALLOW_NETWORK_DATA=1 to fetch GDELT during a run
event,AFC_ASIAN_CUP_2024_OPEN,baidu_index,manual_import,manual_required,AFC Asian Cup Qatar 2023 opening,,,https://index.baidu.com/,public_search_interest,"Use index.baidu.com to query event keywords, save the 7/30/90-day screen or export if available, and enter raw_value plus screenshot path.",official_index_requires_manual_export_or_screenshot
